Artist,Art Name,Date,Image Thumbnail,artist,cloud prediction
Asher Brown Durand,The Wife,1829,https://stor.artstor.org/stor/88c44f01-936b-416b-91f9-3d6c2a8448bb_size1,durand,Ns
Asher Brown Durand,Lindley Murray,1827,https://stor.artstor.org/stor/8eca64b0-d913-4aeb-84f6-8c0cbd9e4fd0_size1,durand,Ac
Asher Brown Durand,William Floyd,1837,https://stor.artstor.org/stor/180a49ee-731f-40b8-9bf0-f3073cebb716_size1,durand,Ct
Asher Brown Durand,William Floyd,1837,https://stor.artstor.org/stor/180a49ee-731f-40b8-9bf0-f3073cebb716_size1,durand,Ac
Asher Brown Durand,"His Excellency Oliver Wolcott, Governor of the State of Connecticut",1820,https://stor.artstor.org/stor/2819efb0-8c79-4a24-aa25-9f2b1c966b85_size1,durand,As
Asher Brown Durand,Jacob Brown,1834,https://stor.artstor.org/stor/e48deef4-088e-4280-8bd3-e4cf0b77597a_size1,durand,Ac
Asher Brown Durand,The Beeches,1845,https://stor.artstor.org/stor/8a74fdd4-3f11-41e4-b036-c82e3fba1425_size1,durand,Cc
Asher Brown Durand,The Beeches,1845,https://stor.artstor.org/stor/8a74fdd4-3f11-41e4-b036-c82e3fba1425_size1,durand,Ac
Asher Brown Durand,The Beeches,1845,https://stor.artstor.org/stor/068d53d8-fba9-42e7-8f31-9b61c621c12f_size1,durand,Cc
Asher Brown Durand,The Beeches,1845,https://stor.artstor.org/stor/068d53d8-fba9-42e7-8f31-9b61c621c12f_size1,durand,Ac
Asher Brown Durand,The Beeches,1845,https://mdxdv.artstor.org/thumb/imgstor/size1/sslps/ucb/20291588.jpg,durand,Cc
Asher Brown Durand,The Beeches,1845,https://mdxdv.artstor.org/thumb/imgstor/size1/sslps/ucb/20291588.jpg,durand,Ac
Asher Brown Durand,The Stranded Ship,1844,https://stor.artstor.org/stor/69c0c6b6-9024-43c6-96f7-684191b2a348_size1,durand,Ac
Asher Brown Durand,The Edge of the Forest,1868,https://stor.artstor.org/stor/18a23857-af7f-4f6d-855d-3ff76852f18d_size1,durand,Sc
Asher Brown Durand,In the Woods,1855,https://stor.artstor.org/stor/c00fe68f-42c5-4910-852a-2a9c55cf7945_size1,durand,Sc
Asher Brown Durand,In the Woods,1855,https://stor.artstor.org/stor/c00fe68f-42c5-4910-852a-2a9c55cf7945_size1,durand,St
Asher Brown Durand,In the Woods,1855,https://stor.artstor.org/stor/c00fe68f-42c5-4910-852a-2a9c55cf7945_size1,durand,Cc
Asher Brown Durand,In the Woods,1855,https://stor.artstor.org/stor/0a44c70c-8ab8-4f3f-9188-8f8d9b3d909a_size1,durand,Sc
Asher Brown Durand,In the Woods,1855,https://stor.artstor.org/stor/0a44c70c-8ab8-4f3f-9188-8f8d9b3d909a_size1,durand,St
Asher Brown Durand,In the Woods,1855,https://stor.artstor.org/stor/0a44c70c-8ab8-4f3f-9188-8f8d9b3d909a_size1,durand,Cc
Asher Brown Durand,In the Woods,1855,https://stor.artstor.org/stor/675d05d6-ccaf-4db3-bcbf-139577d45ff6_size1,durand,Sc
Asher Brown Durand,In the Woods,1855,https://stor.artstor.org/stor/675d05d6-ccaf-4db3-bcbf-139577d45ff6_size1,durand,St
Asher Brown Durand,In the Woods,1855,https://stor.artstor.org/stor/675d05d6-ccaf-4db3-bcbf-139577d45ff6_size1,durand,Cc
Asher Brown Durand,Rip Van Winkle,1840,https://stor.artstor.org/stor/cc89e748-5b79-4762-9b45-5a5814cb19bb_size1,durand,Ac
Asher Brown Durand,Pastoral Landscape,1861,https://stor.artstor.org/stor/94a37d19-e506-4db6-910b-289a1a65bc12_size1,durand,Sc
Asher Brown Durand,"Landscape-Scene from ""Thanatopsis""",1850,https://stor.artstor.org/stor/f365c9e6-1931-428a-9895-e773190af8f9_size1,durand,Ns
Asher Brown Durand,Woodland Interior,1855,https://stor.artstor.org/stor/44a9eb47-f6c1-42b9-a37e-6373d0340b7f_size1,durand,Ns
Asher Brown Durand,Woodland Interior,1855,https://stor.artstor.org/stor/44a9eb47-f6c1-42b9-a37e-6373d0340b7f_size1,durand,Sc
Asher Brown Durand,Woodland Interior,1854,https://stor.artstor.org/stor/9866d289-210d-420a-b060-637a58db440a_size1,durand,Ns
Asher Brown Durand,Woodland Interior,1854,https://stor.artstor.org/stor/9866d289-210d-420a-b060-637a58db440a_size1,durand,Sc
Asher Brown Durand,Woodland Interior,1854,https://stor.artstor.org/stor/d18d374f-50d8-4399-86d2-13e67d8e3c5f_size1,durand,Ns
Asher Brown Durand,Woodland Interior,1854,https://stor.artstor.org/stor/d18d374f-50d8-4399-86d2-13e67d8e3c5f_size1,durand,Sc
Asher Brown Durand,The Babbling Brook,1851,https://stor.artstor.org/stor/96423b8d-a7db-442f-a162-9fe5ccf171fe_size1,durand,Sc
Asher Brown Durand,Catskill Meadows in Summer,1861,https://stor.artstor.org/stor/801f560b-28f8-4fd8-ae3f-511955567e49_size1,durand,As
Asher Brown Durand,Catskill Meadows in Summer,1861,https://stor.artstor.org/stor/801f560b-28f8-4fd8-ae3f-511955567e49_size1,durand,Sc
Asher Brown Durand,Catskill Meadows in Summer,1861,https://stor.artstor.org/stor/51673f5a-43b6-4711-a2f6-d726983baad3_size1,durand,As
Asher Brown Durand,Catskill Meadows in Summer,1861,https://stor.artstor.org/stor/51673f5a-43b6-4711-a2f6-d726983baad3_size1,durand,Sc
Asher Brown Durand,The old oak,1844,https://stor.artstor.org/stor/02b1f979-fe5d-422b-aa64-1e139c7206c1_size1,durand,Sc
Asher Brown Durand,Catskill Clove,1866,https://stor.artstor.org/stor/a1d59fd8-1b81-4305-a6b6-74fc55cd65ca_size1,durand,Ac
Asher Brown Durand,Catskill Clove,1866,https://stor.artstor.org/stor/a1d59fd8-1b81-4305-a6b6-74fc55cd65ca_size1,durand,Sc
Asher Brown Durand,Capture of Major Andre,1833,https://stor.artstor.org/stor/c315020c-128f-45a1-9d26-a492bbecfe45_size1,durand,Ac
Asher Brown Durand,Capture of Major Andre,1833,https://stor.artstor.org/stor/c315020c-128f-45a1-9d26-a492bbecfe45_size1,durand,Ns
Asher Brown Durand,A River Landscape,1858,https://stor.artstor.org/stor/d6a78161-6213-4991-bc30-260ba6604f54_size1,durand,Ac
Asher Brown Durand,Forest Stream with Vista,1872,https://stor.artstor.org/stor/f51f64dd-90a2-4b2b-8f81-8058a1b53af6_size1,durand,Cc
Asher Brown Durand,Summer Afternoon,1865,https://stor.artstor.org/stor/d58c6128-d239-4f33-b799-881b4cacb373_size1,durand,St
Asher Brown Durand,Summer Afternoon,1865,https://stor.artstor.org/stor/d58c6128-d239-4f33-b799-881b4cacb373_size1,durand,Ac
Asher Brown Durand,Summer Afternoon,1865,https://stor.artstor.org/stor/b622d036-2b2e-4d2f-bf12-dd1fc9571828_size1,durand,St
Asher Brown Durand,Summer Afternoon,1865,https://stor.artstor.org/stor/b622d036-2b2e-4d2f-bf12-dd1fc9571828_size1,durand,Ac
Asher Brown Durand,Charles Carrol of Carrolton,1835,https://stor.artstor.org/stor/3eb9b205-e370-49f3-8b4c-dcfc291ae2ca_size1,durand,Ac
Asher Brown Durand,Charles Carroll of Carrollton,1835,https://stor.artstor.org/stor/9a7106bd-0b92-40ef-a95f-f6f1785ffc7b_size1,durand,Cc
Asher Brown Durand,Forest Scene in the Catskills,1855,https://stor.artstor.org/stor/b8ffc9ae-648d-465e-8976-78e8eb6ff488_size1,durand,Sc
Asher Brown Durand,Catherine Maria Sedgwick,1832,https://stor.artstor.org/stor/8199e670-e3ca-4d2a-99a6-c15cba3be27d_size1,durand,Ac
Asher Brown Durand,Catherine Maria Sedgwick,1832,https://stor.artstor.org/stor/8199e670-e3ca-4d2a-99a6-c15cba3be27d_size1,durand,St
Asher Brown Durand,Catherine Maria Sedgwick,1832,https://stor.artstor.org/stor/766f3ecd-ecee-41ae-a720-7de0388e8a0b_size1,durand,Ac
Asher Brown Durand,Catherine Maria Sedgwick,1832,https://stor.artstor.org/stor/766f3ecd-ecee-41ae-a720-7de0388e8a0b_size1,durand,St
Asher Brown Durand,James Kent,1834,https://stor.artstor.org/stor/83e982c7-3e00-4987-aa49-8ffb0fb17bb3_size1,durand,Cc
Asher Brown Durand,Sarah Eliot Scoville,1830,https://stor.artstor.org/stor/81d30816-8ea0-486d-9a6f-ec055dba00f2_size1,durand,Cc
Asher Brown Durand,Trees on a Rocky Hillside,1849,https://stor.artstor.org/stor/20ec6dd7-1d10-480d-9610-bfc2e47b70ac_size1,durand,Ac
Asher Brown Durand,Stephen Decatur,1835,https://stor.artstor.org/stor/13ba2a14-eaa4-42ec-b88d-a7de146db6ef_size1,durand,As
Asher Brown Durand,Joel Barlow,1835,https://stor.artstor.org/stor/422eb155-2acd-4577-b749-022ccd75cf4a_size1,durand,As
Asher Brown Durand,Garrit Furman,1830,https://stor.artstor.org/stor/50bdf2e1-c09b-4d69-929f-f7a80f4d9a8e_size1,durand,Cs
Asher Brown Durand,Thomas Hilson as Tyke,1826,https://stor.artstor.org/stor/e4b163d2-0d8c-45d6-8459-8cff40bb1776_size1,durand,Ac
